sym,action,amt,cuid0,cuid1,actor,source,destination,note,tuid,external_id,timestamp,ref_tuid
USD,card_auth,49.21,dWFH5qXl8vNw3vtt,,dWFH5qXl8vNw3vtt,wQD0PKUARvf5kqAg,,PARTY CITYe PlacOHUS,8BLZ-XY3E,V.27,1498867359524,
USD,card_pending,49.21,dWFH5qXl8vNw3vtt,,dWFH5qXl8vNw3vtt,wQD0PKUARvf5kqAg,,PARTY Bethel,8BLZ-XY3E,V.27,1498867361532,
USD,card_auth,26.19,hdK2KKtLhL1viQs8,,hdK2KKtLhL1viQs8,w2mGN2cvNiG3OyNU,,DOLLAR-GEN      IAUS,JMSV-TDN8,V.28,1498867444349,
USD,card_pending,26.19,hdK2KKtLhL1viQs8,,hdK2KKtLhL1viQs8,w2mGN2cvNiG3OyNU,,DOLLAL #,JMSV-TDN8,V.28,1498867447121,
USD,transfer,25,OFiZLVd89BTBVe4c,,OFiZLVd89BTBVe4c,wOFiZLVd9BTBVe4c,wRRunRxjGxgPyP2l,,4UDV-3L4E,,1498867457706,
USD,create_wallet,0,uAKmtauA32SKXXND,,uAKmtauA32SKXXND,wuAKmtau32SKXXND,wuAKmtau32SKXXND,,PROG-1VHM,,1498867546595,
USD,pay,10,KilAYSGgSHHLUOm3,HSB3HOkJ5cq0SRmg,KilAYSGgSHHLUOm3,wKilAYSGSHHLUOm3,wHSB3HOk5cq0SRmg,,VVQT-VFGO,2af0a266-4cfdff3c0,1498867690328,
USD,card_auth,61.8,s3eKuvxQAhMqKDqC,,s3eKuvxQAhMqKDqC,wZ828nrXZMYrwc3E,,APL* ITUNE-7753 CAUS,G8PC-K36X,V.42,1498867715527,
USD,card_pending,61.8,s3eKuvxQAhMqKDqC,,s3eKuvxQAhMqKDqC,wZ828nrXZMYrwc3E,,APL* /BILL,G8PC-K36X,V.42,1498867718761,
USD,request,20,Q1qs55E14rg3AFuN,bAgMC7ZaLhIz7tYm,Q1qs55E14rg3AFuN,wSkZl8n7Vk6BC91K,wbAgMC7ZLhIz7tYm,For 😇,8FEP-SL2A,,1498867749892,
USD,transfer,7,kl5ngXThpZYfgE3Y,,kl5ngXThpZYfgE3Y,wkl5ngXTpZYfgE3Y,wRowxnPu0bwu0BrF,Chores + cleaning at hoon I'll take back $2.,FWN2-DXIC,,1498867750956,
USD,recurring_request,20,Q1qs55E14rg3AFuN,kberro.com,Q1qs55E14rg3AFuN,wSkZl8n7Vk6BC91K,,Fome,S9RZ-S28A,,1498867788720,
USD,pending_request,20,Q1qs55E14rg3AFuN,kberro.com,Q1qs55E14rg3AFuN,wSkZl8n7Vk6BC91K,,Fome,E1D7-R91A,,1498867788805,S9RZ-S28A
USD,recurring_subscription_payment,48,uAKmtauA32SKXXND,9jFcA4LkZTRXkUrI,uAKmtauA32SKXXND,,wuAKmtau32SKXXND,,E27S-7DQC,,1498867792377,
USD,init_withdraw,15,vby8mL6IxG0V4bym,,vby8mL6IxG0V4bym,wBNXU92PMvZOlm65,,Sliher,LWWI-7ONY,e28fd9a3-4cfdff3c0,1498867794869,
USD,create_wallet,0,uAKmtauA32SKXXND,,uAKmtauA32SKXXND,wqLXQ5MeQxI5CiWl,,,CR2D-V7YS,,1498867809953,
USD,create_wallet,0,uAKmtauA32SKXXND,,uAKmtauA32SKXXND,wC12nIv9omq4tRkd,,,AQW9-Y7E7,,1498867810731,
USD,create_wallet,0,uAKmtauA32SKXXND,,uAKmtauA32SKXXND,wvXESrJuss6bcvFM,,,TSSU-GQDN,,1498867811577,
USD,card_auth,57.17,n8Z1IbdEttbTTAtY,,n8Z1IbdEttbTTAtY,wqNJ32AJqM34UHaR,,TOTAL WINE      MAUS,3DP9-9B5J,V.43,1498867812915,
USD,card_pending,57.17,n8Z1IbdEttbTTAtY,,n8Z1IbdEttbTTAtY,wqNJ32AJqM34UHaR,,TOTAL ORE 17,3DP9-9B5J,V.43,1498867815199,
USD,transfer,25,OspQlKSWMqGvb1wg,,OspQlKSWMqGvb1wg,wOspQlKSMqGvb1wg,wsA0mElaER6tRYyy,Ln,KEBH-4KUZ,,1498867996666,
USD,card_auth,15.15,UubHYtmJwyCPGHIO,,UubHYtmJwyCPGHIO,wuxOEzXmvXyIBPjo,,METRO DINEK     NYUS,EFSB-UMDS,V.29,1498868005069,
USD,card_pending,15.15,UubHYtmJwyCPGHIO,,UubHYtmJwyCPGHIO,wuxOEzXmvXyIBPjo,,METNER,EFSB-UMDS,V.29,1498868011223,
USD,recurring_deposit,5,uAKmtauA32SKXXND,,uAKmtauA32SKXXND,,wqLXQ5MeQxI5CiWl,Alce,SOMO-D7A4,,1498868060873,
USD,init_deposit,5,uAKmtauA32SKXXND,,uAKmtauA32SKXXND,,wqLXQ5MeQxI5CiWl,Alce,69A9-2GR6,d6751646-4cfdff3c0,1498868060893,SOMO-D7A4
USD,transfer,5,3h2L8EQbLM7T5lJv,,3h2L8EQbLM7T5lJv,wMh5pflenlWMTEJ3,wKztNGPYvXk07Ftf,,5AJS-9X2J,,1498868079216,
USD,recurring_create_chore,5.2,uAKmtauA32SKXXND,9jFcA4LkZTRXkUrI,,wqLXQ5MeQxI5CiWl,wqLXQ5MeQxI5CiWl,Clean yolay room,RBAP-H9PS,,1498868410203,
USD,create_chore,5.2,uAKmtauA32SKXXND,9jFcA4LkZTRXkUrI,uAKmtauA32SKXXND,wqLXQ5MeQxI5CiWl,wqLXQ5MeQxI5CiWl,Clean yolay room,XTJE-UMXQ,,1498868410228,RBAP-H9PS
USD,recurring_create_chore,5.2,uAKmtauA32SKXXND,9jFcA4LkZTRXkUrI,,wqLXQ5MeQxI5CiWl,wqLXQ5MeQxI5CiWl,,EXUR-TYAU,,1498868443353,
USD,create_chore,5.2,uAKmtauA32SKXXND,9jFcA4LkZTRXkUrI,uAKmtauA32SKXXND,wqLXQ5MeQxI5CiWl,wqLXQ5MeQxI5CiWl,,XW6N-WKA4,,1498868443377,EXUR-TYAU
USD,create_wallet,0,MCm0SQFT13qK4VZE,,MCm0SQFT13qK4VZE,wMCm0SQF13qK4VZE,wMCm0SQF13qK4VZE,,4JSF-N5UZ,,1498868540441,
USD,card_auth,85.28,U29FQ99HRARDERAP,,U29FQ99HRARDERAP,wMxx8XiJHsONRqaV,,SAO MAI VIK     NYUS,81ML-93QO,V.30,1498868607507,
USD,card_pending,85.28,U29FQ99HRARDERAP,,U29FQ99HRARDERAP,wMxx8XiJHsONRqaV,,SAO MASE CUI,81ML-93QO,V.30,1498868612529,
USD,card_auth,17.5,IznXSaDXOaO0DyKT,,IznXSaDXOaO0DyKT,wb9sK7fKolf7J3Vs,,WALGREENS D     WAUS,NMV3-N7N1,V.44,1498868631012,
USD,card_pending,17.5,IznXSaDXOaO0DyKT,,IznXSaDXOaO0DyKT,wb9sK7fKolf7J3Vs,,WALGR11607,NMV3-N7N1,V.44,1498868633300,
USD,card_auth,61.25,QhbF5mr5CIT2pjCE,,QhbF5mr5CIT2pjCE,wAZGejEaSdRRX5nL,,AliExpress5580  CAUS,YTIO-4D66,V.45,1498868656936,
USD,card_pending,61.25,QhbF5mr5CIT2pjCE,,QhbF5mr5CIT2pjCE,wAZGejEaSdRRX5nL,,Aliess,YTIO-4D66,V.45,1498868658912,
USD,donation_goal,10,Keyivhvr5zp6RnGu,,Keyivhvr5zp6RnGu,wY7RNHN2rXqUH3UZ,,,C7CG-V95N,,1498868768846,
USD,cancel,0,Keyivhvr5zp6RnGu,,Keyivhvr5zp6RnGu,wY7RNHN2rXqUH3UZ,,,C7CG-V95N,,1498868790021,
USD,complete,0,IVrtDrwo9ctMd5l0,,IVrtDrwo9ctMd5l0,wPtGofWU4F70KqYN,wPtGofWU4F70KqYN,,A5KE-7SZR,,1498868888166,
USD,complete,0,IVrtDrwo9ctMd5l0,,IVrtDrwo9ctMd5l0,wPtGofWU4F70KqYN,wPtGofWU4F70KqYN,,9D4N-WMG2,,1498868891358,
USD,complete,0,IVrtDrwo9ctMd5l0,,IVrtDrwo9ctMd5l0,wPtGofWU4F70KqYN,wPtGofWU4F70KqYN,,H8SI-T3FT,,1498868901588,
USD,card_auth,55.33,IznXSaDXOaO0DyKT,,IznXSaDXOaO0DyKT,wb9sK7fKolf7J3Vs,,MONGOLIAN D     WAUS,G4SD-OUA1,V.31,1498869068097,
USD,card_pending,55.33,IznXSaDXOaO0DyKT,,IznXSaDXOaO0DyKT,wb9sK7fKolf7J3Vs,,MONGOLKIRKLA,G4SD-OUA1,V.31,1498869069798,
